Latitude,Longitude,CreatedDate
13.6873684,100.7537842,2026-04-22 12:32:16.1685983 +07:00
13.6873646,100.7537842,2026-04-22 12:32:21.1648834 +07:00
13.6873646,100.7537842,2026-04-22 12:32:26.7897347 +07:00
13.6873617,100.7537842,2026-04-22 12:32:31.1597416 +07:00
13.6873617,100.7537842,2026-04-22 12:32:36.1592607 +07:00
13.6873598,100.7537842,2026-04-22 12:32:41.7087036 +07:00
13.6873589,100.7537842,2026-04-22 12:32:46.1593171 +07:00
13.6873589,100.7537766,2026-04-22 12:32:51.1693930 +07:00
13.6873589,100.7537766,2026-04-22 12:32:56.1843930 +07:00
13.6873589,100.7537766,2026-04-22 12:33:01.1687468 +07:00
13.6873589,100.7537842,2026-04-22 12:33:06.1707178 +07:00
13.6873598,100.7537842,2026-04-22 12:33:11.1690391 +07:00
13.6873636,100.7537842,2026-04-22 12:33:16.7405261 +07:00
13.6873665,100.7537842,2026-04-22 12:33:21.1697398 +07:00
13.6873684,100.7537842,2026-04-22 12:33:26.1704457 +07:00
13.6873693,100.7537918,2026-04-22 12:33:31.1789889 +07:00
13.6873693,100.7537918,2026-04-22 12:33:36.7800495 +07:00
13.6873693,100.7537918,2026-04-22 12:33:41.1710426 +07:00
13.6873693,100.7537918,2026-04-22 12:33:46.7397104 +07:00
13.6873713,100.7537994,2026-04-22 12:33:51.1709500 +07:00
13.6873713,100.7537994,2026-04-22 12:33:56.7304884 +07:00
13.6873732,100.7537918,2026-04-22 12:34:01.1601585 +07:00
13.6873732,100.7537918,2026-04-22 12:34:06.1597719 +07:00
13.6873732,100.7537918,2026-04-22 12:34:11.1692777 +07:00
13.6873732,100.7537918,2026-04-22 12:34:16.1594715 +07:00
13.6873732,100.7537842,2026-04-22 12:34:21.1585143 +07:00
13.6873732,100.7537842,2026-04-22 12:34:26.1713345 +07:00
13.6873732,100.7537842,2026-04-22 12:34:31.7707619 +07:00
13.6873732,100.7537842,2026-04-22 12:34:36.1600377 +07:00
13.6873732,100.7537842,2026-04-22 12:34:41.1588197 +07:00
13.6873713,100.7537918,2026-04-22 12:34:46.1918927 +07:00
13.6873693,100.7537918,2026-04-22 12:34:51.7516070 +07:00
13.6873693,100.7537994,2026-04-22 12:34:56.1802631 +07:00
13.6873684,100.7537994,2026-04-22 12:35:01.7197272 +07:00
13.6873684,100.7537994,2026-04-22 12:35:06.1916812 +07:00
13.6873665,100.7537994,2026-04-22 12:35:11.7002690 +07:00
13.6873665,100.7537994,2026-04-22 12:35:16.1905699 +07:00
13.6873665,100.7537994,2026-04-22 12:35:21.1595774 +07:00
13.6873665,100.7537994,2026-04-22 12:35:26.1704640 +07:00
13.6873684,100.7537994,2026-04-22 12:35:31.7784318 +07:00
13.6873684,100.7537918,2026-04-22 12:35:36.1915019 +07:00
13.6873684,100.7537918,2026-04-22 12:35:41.7203818 +07:00
13.6873693,100.7537918,2026-04-22 12:35:46.1716579 +07:00
13.6873713,100.7537918,2026-04-22 12:35:51.1617240 +07:00
13.6873732,100.7537918,2026-04-22 12:35:56.1705348 +07:00
13.6873732,100.7537918,2026-04-22 12:36:01.7811876 +07:00
13.6873741,100.7537918,2026-04-22 12:36:06.1739987 +07:00
13.6873732,100.7537918,2026-04-22 12:36:11.1604058 +07:00
13.6873732,100.7537918,2026-04-22 12:36:16.1705296 +07:00
13.6873732,100.7537918,2026-04-22 12:36:21.8008159 +07:00
13.6873732,100.7537918,2026-04-22 12:36:26.1602633 +07:00
13.6873732,100.7537918,2026-04-22 12:36:31.1927956 +07:00
